[graph] 63905 segments Overture
[graph] 73034 arêtes, 61085 nœuds (34804 segments exclus)
[route] plus court chemin : 7415 m, pente max 9.3%
[route] palier +116% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3733 plus courts chemins]
[route] palier +117% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3765 plus courts chemins]
[route] palier +118% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3797 plus courts chemins]
[route] palier +119% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3829 plus courts chemins]
[route] palier +120% : 11430 m (+54.1%), pente max 5.8%, raide 0 m, D+ 97 m, douceur 313 — identique au palier +81%  [3861 plus courts chemins]
[webapp] fenêtre 50 m : 5 tracés distincts, 223s
[route] plus court chemin : 7415 m, pente max 7.9%
[route] palier +0% : 7415 m (+0.0%), pente max 7.9%, raide 131 m, D+ 82 m, douceur 620  [1 plus courts chemins]
[route] palier +1% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408  [58 plus courts chemins]
[route] palier +2% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [90 plus courts chemins]
[route] palier +3% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [122 plus courts chemins]
[route] palier +4% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [154 plus courts chemins]
[route] palier +5% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [186 plus courts chemins]
[route] palier +6% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [218 plus courts chemins]
[route] palier +7% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [250 plus courts chemins]
[route] palier +8% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [282 plus courts chemins]
[route] palier +9% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [314 plus courts chemins]
[route] palier +10% : 7471 m (+0.8%), pente max 6.0%, raide 0 m, D+ 82 m, douceur 408 — identique au palier +1%  [346 plus courts chemins]
